service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20190630,20191116
2,0,0,0,0,0,1,0,20190630,20191116
3,0,0,0,0,0,0,1,20190630,20191116
6,1,1,1,1,1,0,0,20190324,20191116
7,0,0,0,0,0,1,0,20190324,20191116
8,0,0,0,0,0,0,1,20190324,20191116
11,1,1,1,1,1,0,0,20140101,20201231
12,0,0,0,0,0,1,0,20140101,20201231
13,0,0,0,0,0,0,1,20140101,20201231
101,1,1,1,1,0,0,1,20150901,20201231
201,0,0,0,0,1,1,0,20150901,20201231
501,1,1,1,1,1,0,0,20190630,20191116
601,0,0,0,1,0,0,0,20190630,20191116
