route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
21358,,1,SO.MIAMI HTS-PERRINE VIA SOUTHLAND,,3,,FF00FF,FFFFFF
21387,,2,DOWNTOWN-163 ST MALL VIA NW 2 AVE,,3,,008000,FFFFFF
21416,,3,AVENTURA-DOWNTOWN VIA BISC.BLVD.,,3,,800080,FFFFFF
21440,,7,DOWNTOWN-DOLPH MALL/AIRPORT VIA 7ST,,3,,FF0000,FFFFFF
21447,,8,BRICKELL-107AV/WSTCHSTR VIA SW 8 ST,,3,,800000,FFFFFF
21451,,9,AVENTURA-DOWNTOWN VIA NE 6 & 2 AVE,,3,,00FF00,FFFFFF
21359,,10,SKYLAKE - OMNI - VIA NE12 & 2AVE,,3,,800080,FFFFFF
21367,,11,FIU-DOWNTOWN VIA FLAGLER ST,,3,,008000,FFFFFF
21373,,12,NORTHSIDE - MERCY HOSP.,,3,,FF00FF,FFFFFF
21381,,16,163 ST-OMNI VIA 16AV & BISC. BLVD,,3,,808040,FFFFFF
21382,,17,NORWOOD - VIZCAYA VIA NW-SW17AVE,,3,,008040,FFFFFF
21384,,19,163 ST MALL-MDC NORTH,,3,,FF8000,FFFFFF
21393,,21,NORTHSIDE - DOWNTOWN,,3,,00FFFF,FFFFFF
21398,,22,163 ST MALL-COCO GROVE VIA 22 AVE,,3,,800080,FFFFFF
21400,,24,CORAL WAY LIMITED,,3,,00FF00,FFFFFF
21406,,27,COCO GROVE-CALDER VIA NW 27 AVE,,3,,FF0000,FFFFFF
21412,,29,HIALEAH TRIANGLE-MIAMI LAKES,,3,,400040,FFFFFF
21419,,31,BUSWAY LOCAL CUTLER BAY-DADELAND SO,,3,,FF8080,FFFFFF
21420,,32,MIAMI GRDNS-OMNI VIA NW 32 AVE-20ST,,3,,FF8000,FFFFFF
21421,,33,HIA GRDNS-BISC BLVD VIA 49/103 ST,,3,,808000,FFFFFF
21423,,34,EXPRESS: FLA CITY TO DADELAND SO,,3,,000000,FFFFFF
21425,,35,MDC KENDALL-FLA.CITY VIA CUTLER BAY,,3,,FF00FF,FFFFFF
21426,,36,DOLPHIN-DORAL-MIA.SPGS-VIA NW 36 ST,,3,,FF8040,FFFFFF
21427,,37,HIALEAH-SO.MIAMI VIA PALM/37 AVE,,3,,004000,FFFFFF
21428,,38,BUSWAY MAX: FLA CITY TO DADELAND SO,,3,,804040,FFFFFF
21429,,39,EXPRESS: S.DADE GVT CTR-DADELAND SO,,3,,000000,FFFFFF
21430,,40,BIRD RD/152 AVE TO DOUGLAS RD STA,,3,,FF00FF,FFFFFF
21431,,42,DGLS RD-OPALOCKA TRI-RAIL,,3,,FF0000,FFFFFF
