MLS NUMBER,STATUS,ADDRESS,BEDS,FBATHS,HBATHS,LIST PRICE,SOLD PRICE,CONTRACT,SETTLED,CITY,SUBDIV,LOT SIZE,TOT SQFT,LIV SQFT,YEAR BUILT,CONST,DESIGN1,DESIGN2,HEAT,COOLING,GAR SPACES,PARKING,GAR DESC,DINING,EXT FEAT,FLOORS,INT FEAT,LOT DESC,POOL2,POOL DIM,ROOF,OTHER ROOM,SEWER,VIEW,WATER,WINDOWS,SUBD INFO,EST TAXES,SPA,POOL1,MSTR BATH,STYLE,SHORT SALE,REO,BLDG UNITS,COMPLEX UNITS,UNIT FLOOR LOC,TOTAL FLOORS,SUBDIVISION INFO,SECURITY INFO,RESTRICTIONS,FEE DESCRIPTION,ASSOC FEE PAID PER,MAINT CHARGE,LAND LEASE,REC LEASE,ASSOCIATION FEE,MIN LEASE,MAINT INCL,DEVELOPMENT NAME,COMPLEX,UNIT #,ROOF,PUBLIC REMARKS,EXPECTED CLOSING DATE,APPROX LOT SIZE,ZIP CODE,PHOTO COUNT,WITHDRAWN DATE,EXPIRATION DATE,PENDING DATE,OFF MARKET DATE,SALE TERMS,DAYS ON MARKET,COUNTY,APN,ENTRY DATE,SELLER CONTRIBUTIONS (Y/N),SELLER CONTRIBUTIONS ($) 
A10597515,Active,46 Star Island Dr,10,10,2,39950000,,01/10/2019 12:00:00 AM,,Miami Beach,STAR ISLAND,61301,18356,18356,1923,Cbs Construction,Detached,"Two Story, Substantially Remodeled","Central Heat, Electric Heat","Central Cooling, Electric Cooling, Zoned Cooling",6,"Covered Parking, Driveway",Detached,"Breakfast Area, Formal Dining, Snack Bar/Counter","Deck, Exterior Lighting, Fence, High Impact Doors, Open Porch","Marble Floors, Wood Floors","First Floor Entry, Built-Ins, Closet Cabinetry, Fireplace, Foyer Entry, Volume Ceilings, Walk-In Closets, Wet Bar",1 To Less Than 2 Acre Lot,"Below Ground Pool, Equipment Stays",1,,"Den/Library/Office, Family Room, Florida Room, Garage Converted, Guest House, Maid/In-Law Quarters, Media Room, Utility Room/Laundry",Municipal Sewer,"Bay, Water View",Municipal Water,"Blinds/Shades, Drapes & Rods, High Impact Windows",STAR ISLAND,116195,,True,"Bidet, Dual Sinks, Separate Tub & Shower",R35-WF/Pool/Ocean Access,False,False,,,,,"Card/Electric Gate, Street Lights, Underground Utilities",,Ok To Lease,,,,,,,,,Star Island,,,,"PRESTIGIOUS PALM BEACH ELEGANCE MEETS THE HIP SOUTH BEACH LIFESTYLE IN THIS EXTRAORDINARILY RENOVATED WATERFRONT VILLA WITH A MODERN TOUCH! The Most Prime Location on Star Island, this Legendary Venetian Villa built by Carl Fisher in 1924 on a Pie-shaped Lot just under 1.5 Acres & w Breathtaking Open Bay Views. 255 FT of Waterfront ideal for yachts, Originally Developed as the Yacht Club on the 1st man-made Miami Beach Island. Gut Renovated in 2017- restoring Architectural Details in Formal Entertaining Areas while blending Fresh & Relaxed style in Casual Spaces & Ultra Modern Kitchen. Lushly Landscaped Garden & Pool designed for Intimate & Glamorous Formal Entertaining. 10 Beds + 10.5  Baths Walled & Gated w 20,000 SF of Interior Living Space Perfect for Families to Enjoy Life at the TOP!",,1.4073,33139,60,,,,,,277,Miami-Dade County,02-42-04-001-0410,01/10/2019 2:54:36 PM,,
A10743716,Active,2920 N Bay Rd,6,7,1,35000000,,09/25/2019 12:00:00 AM,,Miami Beach,AMD PLAT OF SUNSET LAKE S,48875,12881,9159,2013,"Concrete Block Construction, Stone Exterior Construction",Attached,Two Story,"Central Heat, Electric Heat",Central Cooling,3,Driveway,Attached,,"Barbeque, Built-In Grill, Deck, Fruit Trees, Outdoor Shower","Concrete Floors, Wood Floors","First Floor Entry, Built-Ins, Closet Cabinetry, Cooking Island, Walk-In Closets",1 To Less Than 2 Acre Lot,"Below Ground Pool, Heated",64X28,,"Den/Library/Office, Family Room, Great Room, Utility Room/Laundry",Municipal Sewer,"Bay, Direct Ocean",Municipal Water,,AMD PLAT OF SUNSET LAKE S,301614,True,True,,R35-WF/Pool/Ocean Access,False,False,,,,,"Public Road, Sidewalks, Street Lights",,No Restrictions,,,,,,,,,,,,,"A Modern Balinese Inspired Masterpiece on Lower N Bay Rd, this spectacular home presents an oasis of serenity, luxury, & unwavering attention to the finest of details. Resting on a nearly 50,000 sq. ft lush manicured lot, a gated stone motor court leads to a 2-story home with towering ceilings encompassing 6 Bed, 7 full & two 1/2 Bathrooms. Outside is a massive resort style reef pool with infinity edge jacuzzi, Cold plunge, Cabana & outdoor shower. The dock can accommodate up to a 100+ foot yacht and comes complete with a 25k boat lift & 4 ski Jet Ski lift with swim platform. Incredible lawns & exotic landscaping surrounded by covered Loggias & a state of the art outdoor BBQ with Al fresco dining. This exquisite property offers not only a home, but also a complete coastal dream lifestyle.",,,33140,27,,,,,,19,Miami-Dade County,02-32-27-008-0420,09/25/2019 11:52:07 AM,,
A10643045,Active,1 Star Island Dr,8,7,1,32000000,,03/21/2019 12:00:00 AM,,Miami Beach,CORRECTED PL OF STAR ISLA,58332,7988,7988,1940,Cbs Construction,Detached,Two Story,Electric Heat,"Ceiling Fans, Central Cooling",3,"Circular Drive, Driveway",,"Breakfast Area, Eat-In Kitchen, Formal Dining","Barbeque, Built-In Grill, Deck, Open Balcony","Marble Floors, Wood Floors","First Floor Entry, Cooking Island, Fireplace, Foyer Entry, French Doors, Other Interior Features",1 To Less Than 2 Acre Lot,Below Ground Pool,0,,Guest House,Municipal Sewer,"Ocean View, Pool Area View",Municipal Water,,CORRECTED PL OF STAR ISLA,265267,,True,,R35-WF/Pool/Ocean Access,False,False,,,,,"Gate Guarded, Security Patrol",,Ok To Lease,,,,,,,,,,,,,"An unrivaled residential oasis on famed and exclusive Star Island. Gated bayfront estate sitting on 58,332-square-foot corner lot with 240 feet of water-frontage, lush landscaping and unobstructed Biscayne Bay and downtown Miami views. Fully restored in 1995 and featuring a magnificent two-story, Floridian-style main house with 5 bedrooms and 4.5 bathrooms, hardwood and marble floors, living room with fireplace, piano room, spacious master bath with cast iron pedestal tub, heated pool, Jacuzzi and gazebo with summer kitchen and three-car garage. Separate guest house with 3 bedrooms and 3 bathrooms features large center courtyard with Jacuzzi and living room with 30-foot ceilings. Property includes a private dock with electric boat lift. New architectural concepts by Carlos Ott available.",,,33139,19,,,,,,207,Miami-Dade County,02-42-04-001-0010,03/21/2019 1:06:57 PM,,
A10728350,Active,29 Star Island Dr,6,7,2,29000000,,08/23/2019 12:00:00 AM,,Miami Beach,STAR ISLAND,40000,10384,9935,2000,Cbs Construction,Detached,"Two Story, Mediterranean","Central Heat, Electric Heat","Ceiling Fans, Central Cooling, Electric Cooling",4,"Circular Drive, Covered Parking, Pavers",Detached,Eat-In Kitchen,"Barbeque, Exterior Lighting, Extra Building/Shed, Fence, High Impact Doors, Open Balcony, Open Porch, Other","Marble Floors, Wood Floors","First Floor Entry, Built-Ins, Closet Cabinetry, Cooking Island, Foyer Entry, Skylight, Volume Ceilings",1 To Less Than 2 Acre Lot,"Below Ground Pool, Heated",0,,"Den/Library/Office, Family Room, Great Room",Municipal Sewer,"Bay, Water View",Municipal Water,Arched Windows,STAR ISLAND,235066,True,True,"2 Master Bathrooms, Bidet, Separate Tub & Shower, Whirlpool/Spa",R35-WF/Pool/Ocean Access,False,False,,,,,"Gate Guarded, Private Roads, Security Patrol",,No Restrictions,,Yearly,,,,0,,,STAR ISLAND,,,,"Located on exclusive Star Island, this exquisite estate offers a world of privacy & luxury. Tucked behind hand-crafted gates, an expansive motor court leads to a grand entrance. An incomparable living room w/stunning 35’ detailed domed ceilings boosts skylights & exquisite arched windows/doors. Interior features: formal dining room, library, office w/separate entrance & full bathroom, 2 grand stairways, beautiful iron work & gourmet chef’s kitchen w/ top-of-the-line appliances. The grand master bedroom features a rooftop terrace, seating area, office area, expansive built-out closet & a spa-like master bath, marble floors & countertops, a floating tub & oversized marble shower. The verdant outdoors are complete w/luxuriant gardens, summer kitchen, dock, beautiful pool & wide bay views.",,,33139,8,,,,,,52,Miami-Dade County,02-42-04-001-0240,09/05/2019 3:37:53 PM,,
A10663159,Active,30 PALM AV,8,8,1,29000000,,05/07/2019 12:00:00 AM,,Miami Beach,PALM ISLAND,32000,14000,,2014,Cbs Construction,Attached,Two Story,"Central Heat, Electric Heat","Central Cooling, Electric Cooling",4,Driveway,Attached,Formal Dining,"Barbeque, Deck, Exterior Lighting, Fence, Open Balcony, Patio","Marble Floors, Wood Floors","Elevator, Foyer Entry, Laundry Tub, Walk-In Closets",1/2 To Less Than 3/4 Acre Lot,Below Ground Pool,14X28,,"Family Room, Guest House, Media Room, Recreation Room",Municipal Sewer,"Bay, Water View",Municipal Water,,PALM ISLAND,183794,False,True,2 Master Bathrooms,R35-WF/Pool/Ocean Access,False,False,,,,,"Community Tennis Courts, Exercise Room",,Other Restrictions,,,,,,0,,,PALM ISLAND,,,,"New Modern Estate on Exclusive and Secured Palm Island. Approx 14,000 SF home on a 32,000 SF lot with 100' of water frontage. Fully automated smart home with 8 Beds and 8 Full Baths. Large master, Movie Theater with 132"" Screen and 11 Recliners. Pet Room and Staff Quarters leading to an ample 4 car garage. Spacious driveway and a separate detached gym and social room. Gated Island featuring Playground, Tennis and Basketball Courts.",,32000,33139,34,,,,,,160,Miami-Dade County,02-42-05-001-0260,05/07/2019 3:21:29 PM,,
A10475279,Active,370 S Hibiscus Dr,5,5,1,28800000,,05/24/2018 12:00:00 AM,,Miami Beach,HIBISCUS ISLAND,21000,14518,10754,2016,"Cbs Construction, Other Construction",Detached,Three Or More Stories,"Central Heat, Electric Heat","Central Cooling, Electric Cooling",4,Driveway,Attached,Formal Dining,"Barbeque, Built-In Grill, Deck, Exterior Lighting, High Impact Doors, Open Balcony, Other","Marble Floors, Other Floors","First Floor Entry, Bar, Built-Ins, Closet Cabinetry, Cooking Island, Custom Mirrors, Elevator",1/4 To Less Than 1/2 Acre Lot,"Above Ground Pool, Other",0,,"Den/Library/Office, Family Room, Media Room, Other, Recreation Room, Utility Room/Laundry",Municipal Sewer,"Bay, Canal",Municipal Water,"Blinds/Shades, Drapes & Rods, High Impact Windows, Impact Glass",HIBISCUS ISLAND,235671,True,True,"2 Master Bathrooms, Dual Sinks",R35-WF/Pool/Ocean Access,False,False,,,,,"Additional Amenities, Gate Guarded, Other Subdiv/Park Info",,Other Restrictions,,,,,,,,,,,,,"An ultramodern oasis, built on a double lot in 2016, on exclusive Hibiscus Island in Miami Beach. This residence was developed with state-of-the-art home technology and impeccably designed to enjoy the beauty of island living. Marble and wooden floors are paired with bright accents to compliment the naturally illuminated rooms. Luxurious interior features include a kitchen w/top-of-the-line appliances, in-home theater & space integration. Living areas open to create a single indoor/outdoor living area w/stunning water & incredible city skyline views . Exterior features include infinity-edge pool, 122 ft of water frontage, enough space for several vessels and all of your water toys. Expertly crafted Rooftop with its own gourmet kitchen and spa to reinforce an extra touch of sophistication.",,21000,33139,24,,,,,,508,Miami-Dade County,02-32-32-006-0160,05/24/2018 4:08:51 PM,,
A10042248,Active,16 PALM AVE,6,6,1,28500000,,03/02/2016 12:00:00 AM,,Miami Beach,Palm Island,35348,10958,9209,1930,Stucco Exterior Construction,Attached,Two Story,Central Heat,Central Cooling,2,"Circular Drive, Driveway, Guest Parking",Detached,"Formal Dining, Kitchen Dining, Snack Bar/Counter","Deck, Exterior Lighting, High Impact Doors, Open Balcony, Open Porch, Patio, Wraparound Porch","Marble Floors, Wood Floors","First Floor Entry, Bar, Cooking Island, French Doors, Vaulted Ceilings, Walk-In Closets, Wet Bar",3/4 To Less Than 1 Acre Lot,"Below Ground Pool, Heated",1,,"Den/Library/Office, Family Room, Garage Apartment, Great Room, Guest House, Maid/In-Law Quarters, Media Room, Utility Room/Laundry",Municipal Sewer,"Bay, Water View",Municipal Water,High Impact Windows,Palm Island,179232,True,True,"Bidet, Dual Sinks, Separate Tub & Shower",R35-WF/Pool/Ocean Access,False,False,,,,,"Card/Electric Gate, Community Tennis Courts, Picnic Area",,No Restrictions,,Yearly,,,,0,,,Palm Island,,,,"THE GRAND DAME ESTATE OF PALM ISLAND SITS ON 3/4 ACRE IN THE HEART OF SoBe! Sunset Vistas over Miami Skyline w 225' of WF & 3 Vessel Marina. Hand-carved Italian Limestone Fountains, Putting Green & Bocce Ball Court. Olympic-sized Negative-edge Pool. Romantic Med Architecture & Renovated Modern Interiors. Soaring Mother-of-Pearl Livingroom Wall, Vaulted Hi-Ceilings, Italian Travertino Floors & Woven Mahogany Doors & Windows.Custom White Custom Kitchen & Eat-in Island in Tiger's-Eye Gold Semiprecious Stone.",,35348,33139,35,,,,,,1321,Miami-Dade County,02-42-05-001-0240,03/02/2016 4:44:34 PM,,
A10706168,Active,10 PALM AVENUE,8,6,2,26200000,,07/15/2019 12:00:00 AM,,Miami Beach,PALM ISLAND,35348,11000,9893,2003,Cbs Construction,Detached,"Three Or More Stories, Mediterranean","Central Heat, Electric Heat","Central Cooling, Electric Cooling",3,"Circular Drive, Covered Parking, Driveway",Detached,"Breakfast Area, Formal Dining, Snack Bar/Counter","Awnings, Barbeque, Built-In Grill, Deck, Open Balcony, Patio, Wraparound Porch",Marble Floors,"First Floor Entry, Bar, Built-Ins, Closet Cabinetry, Cooking Island, Foyer Entry, Vaulted Ceilings, Walk-In Closets",3/4 To Less Than 1 Acre Lot,"Below Ground Pool, Heated",50X15,,"Atrium, Den/Library/Office, Family Room, Great Room, Separate Guest/In-Law Quarters, Guest House, Maid/In-Law Quarters, Storage Room",Municipal Sewer,"Bay, Ocean View, Water View",Municipal Water,"Arched Windows, Blinds/Shades",PALM ISLAND,210213,,True,"Bidet, Dual Sinks, Separate Tub & Shower, Whirlpool/Spa",R35-WF/Pool/Ocean Access,False,False,,,,,Other Subdiv/Park Info,,No Restrictions,,,,,,,,,,,,,"Inspired by elements from Casa Blanca & the Monte Carlo Hotel, the iconic estate at 10 Palm Island offers a private playground with endless amenities. The custom built home was masterfully created, each detail was carefully designed from the constellations of the sky in the cinema room, to the 24K gold handles, to the rooftop & groundfloor jacuzzis, this estate has it all. As you enter, you’re greeted by its 35ft entrance with its interior courtyard & bespoke skylight. Inside, you’ll find a vast & open kitchen, a temperature controlled wine cellar, a fully equipped gym along with Crestron smart operating systems. The exterior is a majestic tropical oasis with a resort style 120ft pool, volleyball court, waterfall slide, 2-bed guesthouse & more. Offers a vast dock with rare 235ft waterfront",,35348,33139,8,,,,,,91,Miami-Dade County,02-42-05-001-0231,07/15/2019 6:22:46 PM,,
A10738128,Active,101 N Hibiscus Dr,7,8,2,25900000,,08/27/2019 12:00:00 AM,,Miami Beach,HIBISCUS ISLAND,21000,16164,10780,2016,Cbs Construction,Detached,Three Or More Stories,"Central Heat, Electric Heat","Central Cooling, Electric Cooling",2,"Covered Parking, Driveway",Attached,,"Built-In Grill, Exterior Lighting, High Impact Doors, Open Balcony, Open Porch",Marble Floors,"First Floor Entry, Second Floor Entry, Built-Ins, Fireplace, Split Bedroom, Volume Ceilings, Walk-In Closets",1/4 To Less Than 1/2 Acre Lot,"Below Ground Pool, Heated",0,,"Maid/In-Law Quarters, Recreation Room, Storage Room, Utility Room/Laundry",Municipal Sewer,Water View,Municipal Water,,HIBISCUS ISLAND,255461,True,True,,R35-WF/Pool/Ocean Access,False,False,,,,,"Gate Guarded, Private Roads, Voluntary Hoa",,Ok To Lease,,Monthly,,,,0,,,,,,,"Giving the entire residence a feeling of dynamic movement, this exquisitely designed masterpiece was built w/water views framed throughout the entire estate. Located on coveted, guard-gated Hibiscus Island, 16,164 SF estate sits on a 21,000 SF lot w/ 120’ of wide open water. Designed by the award-winning architects at Touzet Studio, interiors by Linda Zarifi Design & landscaping by Enea Garden Design, this smart home is a contemporary ode to the French urban palace. Represents an impeccable adaptation of international French design merged w/sleek Miami style. Exquisite details: Blue de Savoie marble, gym w/steam room, yoga terrace, meditation room, kitchen custom made in Switzerland, service wing, staff apartment, 50’ geothermal heated pool, private dock, rooftop w/jacuzzi & outdoor shower",,,33139,47,,,,,,48,Miami-Dade County,02-32-32-006-0550,09/23/2019 11:56:29 AM,,
A10738434,Active,921 N Venetian Dr,5,5,1,19900000,,09/12/2019 12:00:00 AM,,Miami,BISCAYNE ISL,27250,3605,3605,2011,Cbs Construction,Attached,One Story,"Central Heat, Electric Heat","Central Cooling, Electric Cooling",2,Circular Drive,,,"Built-In Grill, Exterior Lighting, Patio","Marble Floors, Other Floors","Built-Ins, Foyer Entry, Walk-In Closets, Wet Bar",1/4 To Less Than 1/2 Acre Lot,"Above Ground Pool, Heated",0,,Utility Room/Laundry,Municipal Sewer,Bay,Municipal Water,"Bay Window, Casement, Sliding",BISCAYNE ISL,102430,,True,Separate Tub & Shower,R35-WF/Pool/Ocean Access,False,False,,,,,Other Subdiv/Park Info,,Other Restrictions,,,,,,,,,Bayfront Estate,,,,"Magnificent Bayfront Villa- situated on a double lot offering 27,250 SF and 175 linear ft of Wide Bay waterfront. Elegant European home, designed by L. Carmellini of Milan (creator of Gianni Versace's boutiques and homes). The two-story residence offers unobstructed views of Biscayne Bay and Miami's skyline from most of the rooms. Carrara marble floors, exuberant wood work, gourmet kitchen, soaring coffered ceiling, formal dining room, large summer kitchen, over-sized mosaic swimming pool. Top of the line boat accommodations for large yacht or multiple elevated dockage. The residence is immaculate with no expense spared- move in condition. Rare opportunity to own of the largest properties on the Venetian Isles.",,175x150,33139,36,,,,,,32,Miami-Dade County,01-32-31-026-0100,09/17/2019 2:54:33 PM,,
