ADDRESS,LATITUDE,LONGITUDE,ALTITUDE,ALTITUDE IN,2030 Med,Damage 2030,Damage Done 30,2060 Med,Damage 2060,Damage Done 60,LOT SIZE,CITY,COUNTY,LIST PRICE,ZIP CODE,year
5980 N Bay Rd,25.842269,-80.131355,0.3000000119,3.600000143,11,418049.775,32081950.23,21,927691.05,31572308.95,43615,Miami Beach,Miami-Dade County,32500000,33140,2019
5004 N Bay Rd,25.826125,-80.133161,0.3000000119,3.600000143,11,206240.445,26293759.56,21,457666.59,26042333.41,21517,Miami Beach,Miami-Dade County,26500000,33140,2018
5565/5589 Pine Tree Dr,25.834123,-80.123878,4,48,11,800807.58,23189192.42,21,1777065.96,22212934.04,83548,Miami Beach,Miami-Dade County,23990000,33140,2018
100 La Gorce Circle,25.847262,-80.12662,1.399999976,16.79999971,11,745214.58,21754785.42,21,1653699.96,20846300.04,77748,Miami Beach,Miami-Dade County,22500000,33141,2018
6385 Pinetree Drive Cir,25.845853,-80.126169,0.400000006,4.800000072,11,419468.355,22080531.65,21,930839.01,21569160.99,43763,Miami Beach,Miami-Dade County,22500000,33141,2018
580 Sabal Palm Rd,25.814632,-80.185615,4.400000095,52.80000114,11,244935.09,19755064.91,21,543533.58,19456466.42,25554,Miami,Miami-Dade County,20000000,33137,2017
6650 Allison Rd,25.850376,-80.124851,0,0,11,236490.705,19713509.3,21,524794.71,19425205.29,24673,Miami Beach,Miami-Dade County,19950000,33141,2019
610 Sabal Palm Rd,25.815418,-80.184767,4.199999809,50.39999771,11,218538,14281462,21,484956,14015044,22800,Miami,Miami-Dade County,14500000,33137,2019
4745 Pine Tree Dr,25.822777,-80.124944,2.5,30,11,102517.6733,13647482.33,21,227496.1828,13522503.82,10695.63624,Miami Beach,Miami-Dade County,13750000,33140,2018
625 BUTTON WOOD LANE,25.820894,-80.183183,0.1000000015,1.200000018,11,646537.005,12753463,21,1434725.31,11965274.69,67453,Miami,Miami-Dade County,13400000,33137,2015
4330 N Bay Rd,25.816344,-80.138568,0.3000000119,3.600000143,11,184032,12765968,21,408384,12541616,19200,Miami Beach,Miami-Dade County,12950000,33140,2019
5396 N Bay Rd,25.832934,-80.130118,0.400000006,4.800000072,11,122295.015,12677704.99,21,271383.93,12528616.07,12759,Miami Beach,Miami-Dade County,12800000,33140,2018
5565 Pine Tree Drive,25.834182,-80.123421,4.099999905,49.19999886,11,462955.5,11532044.5,21,1027341,10967659,48300,Miami Beach,Miami-Dade County,11995000,33140,2018
5589 Pine Tree Dr,25.834608,-80.123372,3.599999905,43.19999886,11,337852.08,11657147.92,21,749724.96,11245275.04,35248,Miami Beach,Miami-Dade County,11995000,33140,2018
4411 Pine Tree Dr,25.816818,-80.125057,3,36,11,373815,11576185,21,829530,11120470,39000,Miami Beach,Miami-Dade County,11950000,33140,2018
5045 Lakeview Drive,25.826953,-80.12594,4.599999905,55.19999886,11,317742.75,11577257.25,21,705100.5,11189899.5,33150,Miami Beach,Miami-Dade County,11895000,33140,2018
5410 N Bay Rd,25.83315,-80.130154,0.3000000119,3.600000143,11,122295.015,11667704.99,21,271383.93,11518616.07,12759,Miami Beach,Miami-Dade County,11790000,33140,2019
6300 N Bay Rd,25.843695,-80.129424,0.3000000119,3.600000143,11,241685.775,11258314.23,21,536323.05,10963676.95,25215,Miami Beach,Miami-Dade County,11500000,33141,2019
6380 N Bay Rd,25.844658,-80.128526,0.3000000119,3.600000143,11,258919.605,10241080.4,21,574566.51,9925433.49,27013,Miami Beach,Miami-Dade County,10500000,33141,2019
5821 Pine Tree Dr,25.838572,-80.123502,3.099999905,37.19999886,11,306902.115,9493097.885,21,681044.13,9118955.87,32019,Miami Beach,Miami-Dade County,9800000,33140,2019
