ADDRESS,LATITUDE,LONGITUDE,ALTITUDE,ALTITUDE IN,2030 Med,Damage 2030,Damage Done 30,% 30,2060 Med,Damage 2060,Damage Done 60,% 60,LOT SIZE,CITY,COUNTY,LIST PRICE,ZIP CODE,year
5980 N Bay Rd,25.842269,-80.131355,0.3000000119,3.600000143,11,418049.775,32081950.23,1.286307,21,927691.05,31572308.95,2.854434,43615,Miami Beach,Miami-Dade County,32500000,33140,2019
5004 N Bay Rd,25.826125,-80.133161,0.3000000119,3.600000143,11,206240.445,26293759.56,0.7782658302,21,457666.59,26042333.41,1.727043736,21517,Miami Beach,Miami-Dade County,26500000,33140,2018
5565/5589 Pine Tree Dr,25.834123,-80.123878,4,48,11,800807.58,23189192.42,3.33808912,21,1777065.96,22212934.04,7.40752797,83548,Miami Beach,Miami-Dade County,23990000,33140,2018
100 La Gorce Circle,25.847262,-80.12662,1.399999976,16.79999971,11,745214.58,21754785.42,3.3120648,21,1653699.96,20846300.04,7.3497776,77748,Miami Beach,Miami-Dade County,22500000,33141,2018
6385 Pinetree Drive Cir,25.845853,-80.126169,0.400000006,4.800000072,11,419468.355,22080531.65,1.8643038,21,930839.01,21569160.99,4.137062267,43763,Miami Beach,Miami-Dade County,22500000,33141,2018
580 Sabal Palm Rd,25.814632,-80.185615,4.400000095,52.80000114,11,244935.09,19755064.91,1.22467545,21,543533.58,19456466.42,2.7176679,25554,Miami,Miami-Dade County,20000000,33137,2017
6650 Allison Rd,25.850376,-80.124851,0,0,11,236490.705,19713509.3,1.185417068,21,524794.71,19425205.29,2.630549925,24673,Miami Beach,Miami-Dade County,19950000,33141,2019
610 Sabal Palm Rd,25.815418,-80.184767,4.199999809,50.39999771,11,218538,14281462,1.507158621,21,484956,14015044,3.344524138,22800,Miami,Miami-Dade County,14500000,33137,2019
4745 Pine Tree Dr,25.822777,-80.124944,2.5,30,11,102517.6733,13647482.33,0.7455830788,21,227496.1828,13522503.82,1.654517693,10695.63624,Miami Beach,Miami-Dade County,13750000,33140,2018
625 BUTTON WOOD LANE,25.820894,-80.183183,0.1000000015,1.200000018,11,646537.005,12753463,4.824903022,21,1434725.31,11965274.69,10.7069053,67453,Miami,Miami-Dade County,13400000,33137,2015
4330 N Bay Rd,25.816344,-80.138568,0.3000000119,3.600000143,11,184032,12765968,1.421096525,21,408384,12541616,3.153544402,19200,Miami Beach,Miami-Dade County,12950000,33140,2019
5396 N Bay Rd,25.832934,-80.130118,0.400000006,4.800000072,11,122295.015,12677704.99,0.9554298047,21,271383.93,12528616.07,2.120186953,12759,Miami Beach,Miami-Dade County,12800000,33140,2018
5565 Pine Tree Drive,25.834182,-80.123421,4.099999905,49.19999886,11,462955.5,11532044.5,3.859570654,21,1027341,10967659,8.564743643,48300,Miami Beach,Miami-Dade County,11995000,33140,2018
5589 Pine Tree Dr,25.834608,-80.123372,3.599999905,43.19999886,11,337852.08,11657147.92,2.816607586,21,749724.96,11245275.04,6.250312297,35248,Miami Beach,Miami-Dade County,11995000,33140,2018
4411 Pine Tree Dr,25.816818,-80.125057,3,36,11,373815,11576185,3.128158996,21,829530,11120470,6.94167364,39000,Miami Beach,Miami-Dade County,11950000,33140,2018
