type	latitude	longitude	altitude (ft)	eos	name
T	25.842269000	-80.131355000	0.3		latlong - Sheet1
T	25.826125000	-80.133161000	0.3		
T	25.834123000	-80.123878000	4.0		
T	25.847262000	-80.126620000	1.4		
T	25.845853000	-80.126169000	0.4		
T	25.814632000	-80.185615000	4.4		
T	25.850376000	-80.124851000	0.0		
T	25.815418000	-80.184767000	4.2		
T	25.822777000	-80.124944000	2.5		
T	25.820894000	-80.183183000	0.1		
T	25.816344000	-80.138568000	0.3		
T	25.832934000	-80.130118000	0.4		
T	25.834182000	-80.123421000	4.1		
T	25.834608000	-80.123372000	3.6		
T	25.816818000	-80.125057000	3.0		
T	25.826953000	-80.125940000	4.6		
T	25.833150000	-80.130154000	0.3		
T	25.843695000	-80.129424000	0.3		
T	25.844658000	-80.128526000	0.3		
T	25.838572000	-80.123502000	3.1		
T	25.820592000	-80.184896000	3.7		
T	25.849416000	-80.130845000	0.3		
T	25.845076000	-80.128197000	0.3		
T	25.836806000	-80.123334000	2.9		
T	25.812221000	-80.125642000	3.5		
T	25.820988000	-80.180524000	0.0		
T	25.830922000	-80.130274000	0.3		
T	25.823884000	-80.126960000	3.4		
T	25.831803000	-80.123955000	2.7		
T	25.846395000	-80.124373000	0.3		
T	25.844265000	-80.125389000	2.0		
T	25.819706000	-80.130087000	0.3		
T	25.849328000	-80.138329000	0.3		
T	25.818142000	-80.183002000	0.2		
T	25.843098000	-80.130136000	0.3		
T	25.847899000	-80.123772000	0.0		
T	25.820894000	-80.183183000	0.1		
T	25.820452000	-80.183098000	0.3		
T	25.829139000	-80.130473000	0.6		
T	25.815732000	-80.125310000	3.3		
T	25.824899000	-80.126511000	5.3		
T	25.816413000	-80.184564000	5.1		
T	25.862168000	-80.130250000	1.1		
T	25.845857000	-80.125936000	0.3		
T	25.841120000	-80.124146000	2.8		
T	25.832667000	-80.124537000	3.6		
T	25.818302000	-80.130546000	0.3		
T	25.818237000	-80.184087000	3.2		
T	25.820966000	-80.181498000	0.0		
T	25.833616000	-80.123621000	3.8		
T	25.824286000	-80.128345000	3.9		
T	25.844927000	-80.123234000	0.7		
T	25.850847000	-80.172238000	0.3		
T	25.852292000	-80.173677000	0.6		
T	25.832412000	-80.123886000	2.8		
T	25.809452000	-80.127879000	3.6		
T	25.836681000	-80.124475000	2.8		
T	25.831627000	-80.180926000	4.0		
T	25.837615000	-80.131757000	1.0		
T	25.819018000	-80.131258000	0.7		
T	25.850226000	-80.135043000	0.4		
T	25.850094000	-80.172450000	0.3		
T	25.849371000	-80.140046000	0.3		
T	25.862045000	-80.130075000	1.0		
T	25.836930000	-80.124477000	2.8		
T	25.816105000	-80.187080000	8.5		
T	25.836543000	-80.131154000	1.1		
T	25.808882000	-80.128010000	3.6		
T	25.847566000	-80.127836000	3.3		
T	25.811087000	-80.126630000	3.6		
T	25.842342000	-80.127185000	2.9		
T	25.842173000	-80.122884000	1.0		
T	25.825727000	-80.129826000	3.0		
T	25.858773000	-80.144096000	0.3		
T	25.838229000	-80.125202000	3.3		
T	25.860076000	-80.142652000	0.3		
T	25.825045000	-80.132041000	0.5		
T	25.816290000	-80.132406000	0.3		
T	25.811335000	-80.122613000	1.5		
T	25.844116000	-80.126161000	2.0		
T	25.854126000	-80.145039000	0.3		
T	25.848713000	-80.129944000	3.4		
T	25.809027000	-80.134969000	0.3		
T	25.843755000	-80.124076000	0.8		
T	25.848428000	-80.127935000	3.3		
T	25.842653000	-80.174993000	0.3		
T	25.843985000	-80.174943000	0.3		
T	25.841431000	-80.124980000	3.0		
T	25.849172000	-80.129113000	3.1		
T	25.820883000	-80.136462000	0.4		
T	25.842870000	-80.128310000	1.4		
T	25.842374000	-80.122885000	1.0		
T	25.842790000	-80.123771000	0.3		
T	25.816727000	-80.187744000	8.4		
T	25.822246000	-80.136167000	0.3		
T	25.845879000	-80.159919000	0.3		
T	25.842163000	-80.129573000	0.9		
T	25.844403000	-80.150176000	0.3		
T	25.815055000	-80.187757000	9.1		
T	25.832106000	-80.124617000	3.0		
T	25.861228000	-80.133051000	0.3		
T	25.835011000	-80.124158000	2.9		
T	25.822526000	-80.132487000	1.2		
T	25.818260000	-80.185514000	6.3		
T	25.837507000	-80.125129000	3.3		
T	25.854441000	-80.143540000	0.5		
T	25.842292000	-80.128300000	2.1		
T	25.811638000	-80.126318000	3.4		
T	25.852507000	-80.131122000	0.3		
T	25.844980000	-80.179058000	0.6		
T	25.810494000	-80.131939000	0.3		
T	25.856295000	-80.135157000	0.4		
T	25.827353000	-80.132325000	0.3		
T	25.843889000	-80.123633000	2.5		
T	25.831361000	-80.182268000	7.0		
T	25.841454000	-80.125382000	3.2		
T	25.817343000	-80.136358000	1.9		
T	25.823979000	-80.135477000	0.3		
T	25.821800000	-80.135688000	0.3		
T	25.811441000	-80.127584000	3.6		
T	25.844986000	-80.175224000	0.2		
T	25.849824000	-80.136008000	0.3		
T	25.836174000	-80.130493000	1.8		
T	25.811151000	-80.131242000	0.7		
T	25.818622000	-80.131372000	0.6		
T	25.852948000	-80.174667000	1.4		
T	25.846785000	-80.157344000	0.3		
T	25.838618000	-80.131941000	0.8		
T	25.817536000	-80.127746000	2.6		
T	25.816163000	-80.185693000	6.9		
T	25.852879000	-80.175823000	2.4		
T	25.860616000	-80.131175000	0.6		
T	25.834303000	-80.129428000	1.7		
T	25.845409000	-80.179541000	0.3		
T	25.861095000	-80.132022000	0.4		
T	25.813873000	-80.136842000	4.3		
T	25.818818000	-80.192644000	13.5		
T	25.809156000	-80.129584000	2.6		
T	25.815830000	-80.137046000	2.8		
T	25.817865000	-80.187568000	8.5		
T	25.831188000	-80.183848000	9.2		
T	25.842114000	-80.130269000	0.3		
T	25.824347000	-80.135069000	0.4		
T	25.832197000	-80.125598000	3.5		
T	25.813761000	-80.137923000	5.9		
T	25.828792000	-80.181288000	3.3		
T	25.840045000	-80.124940000	3.2		
T	25.824735000	-80.184459000	7.7		
T	25.854752000	-80.141474000	0.5		
T	25.846836000	-80.159474000	0.8		
T	25.845926000	-80.154867000	0.3		
T	25.819941000	-80.187262000	7.5		
T	25.813153000	-80.191714000	13.9		
T	25.855036000	-80.138691000	0.3		
T	25.841345000	-80.130585000	1.1		
T	25.830426000	-80.184248000	9.1		
T	25.825971000	-80.130865000	1.4		
T	25.809499000	-80.129534000	2.6		
T	25.809759000	-80.129039000	2.7		
T	25.844454000	-80.181325000	3.1		
T	25.844828000	-80.126335000	1.0		
