MLS NUMBER,STATUS,ADDRESS,BEDS,FBATHS,HBATHS,LIST PRICE,SOLD PRICE,CONTRACT,SETTLED,CITY,SUBDIV,LOT SIZE,TOT SQFT,LIV SQFT,YEAR BUILT,CONST,DESIGN1,DESIGN2,HEAT,COOLING,GAR SPACES,PARKING,GAR DESC,DINING,EXT FEAT,FLOORS,INT FEAT,LOT DESC,POOL2,POOL DIM,ROOF,OTHER ROOM,SEWER,VIEW,WATER,WINDOWS,SUBD INFO,EST TAXES,SPA,POOL1,MSTR BATH,STYLE,SHORT SALE,REO,BLDG UNITS,COMPLEX UNITS,UNIT FLOOR LOC,TOTAL FLOORS,SUBDIVISION INFO,SECURITY INFO,RESTRICTIONS,FEE DESCRIPTION,ASSOC FEE PAID PER,MAINT CHARGE,LAND LEASE,REC LEASE,ASSOCIATION FEE,MIN LEASE,MAINT INCL,DEVELOPMENT NAME,COMPLEX,UNIT #,ROOF,PUBLIC REMARKS,EXPECTED CLOSING DATE,APPROX LOT SIZE,ZIP CODE,PHOTO COUNT,WITHDRAWN DATE,EXPIRATION DATE,PENDING DATE,OFF MARKET DATE,SALE TERMS,DAYS ON MARKET,COUNTY,APN,ENTRY DATE,SELLER CONTRIBUTIONS (Y/N),SELLER CONTRIBUTIONS ($) 
A10605054,Active,5203 Fisher Island Drive,5,5,1,18950000,,01/24/2019 12:00:00 AM,,Miami,BAYVIEW FISHER ISL CONDO ,,9570,9570,1992,Cbs Construction,,,Central Heat,Central Cooling,5,"2 Or More Spaces, Guest Parking, Other Parking",Attached,"Breakfast Area, Dining/Living Room, Snack Bar/Counter","High Impact Doors, Open Balcony, Wraparound Porch","Carpeted Floors, Marble Floors, Other Floors, Tile Floors","Bar, Built-Ins, Closet Cabinetry, Cooking Island, Pantry, Walk-In Closets",,,,,"Den/Library/Office, Family Room, Florida Room, Great Room, Separate Guest/In-Law Quarters, Maid/In-Law Quarters, Media Room, Recreation Room",,,,,BAYVIEW FISHER ISL CONDO ,159284,,,"2 Master Bathrooms, Dual Sinks, Separate Tub & Shower",C42-Condo 5+ Stories,False,False,,,10,10,,"Guard At Site, Other Security, Private Guards",Other Restrictions,,Monthly,5370,0,0,5370,,,Fisher Island,Bayview,5203,,"Largest unit available on Fisher Island made up of 9,570 interior sq ft. Sweeping open bay views outlined by the iconic Miami skyline on one side and natural beautiful green views of Virginia Key on the other. This PH residence recently underwent a total 3 yr renovation led by designer Marc-Michaels Interior Design. 5/5/1 with generous living space perfect for your private enjoyment and/or for entertainment. Features include: high ceilings throughout, Crestron system with security cameras, fully equipped Downsview kitchen, Tishler impact doors, 2 washer and dryer set, separate duo bath and independent staff apartment. Amenities include: private island dining, golf, tennis, spa, marina, private beach, Fisher Island Day School. 5 parking spaces , 2 golf cart spaces",,,33109,37,,,,,,263,Miami-Dade County,30-42-09-014-0180,01/24/2019 2:46:33 PM,,
A10701878,Active,5292 Fisher Island Dr,7,7,1,16500000,,07/05/2019 12:00:00 AM,,Miami,BAYVIEW FISHER ISL CONDO,,6700,6700,1992,Cbs Construction,,,"Central Heat, Electric Heat","Central Cooling, Electric Cooling",2,"2 Or More Spaces, Assigned Parking, Covered Parking, Golf Cart Parking",Attached,"Breakfast Area, Dining/Living Room",Open Balcony,"Marble Floors, Wood Floors","Built-Ins, Foyer Entry",,,,,"Family Room, Utility Room/Laundry",,,,Sliding,BAYVIEW FISHER ISL CONDO,136509,,,"Separate Tub & Shower, Whirlpool/Spa",C42-Condo 5+ Stories,False,False,,,9,10,,"Guard At Site, Other Security, Private Guards",Exterior Alterations,,Monthly,3756,0,0,3756,,,FISHER ISLAND,BAYVIEW FISHER ISLAND,5292,,"This stunning Bayview unit has been fully renovated with no expense spared. This turn-key unit is the first unit in the US to be totally designed & furnished A-Z by Giorgetti. 7BR/7+1BA (Incl. Service Quarters) & over 2,000 SF of terraces w/ unobstructed Bay & Downtown Miami Skyline sunset views as well as beautiful sunrises looking out to Gov. Cut to watch the parade of ships . Boasts Italian marble & oak floors in all bedrooms, open flowing living/dining area & family media room. Gourmet kitchen w/ top of the line Miele appliances, center island & 4 wine chillers. Bay-facing master suite with separate his & her master baths with Turkish sauna, glass & onyx shower & voluminous walk-in closet. Smart home with new WinDoor motorized sliding doors & full replacement of AC & electric systems.",,,33109,37,,,,,,101,Miami-Dade County,30-42-09-014-0140,07/05/2019 12:23:33 PM,,
A10649035,Active,7073 Fisher Island Dr,4,4,1,15900000,,04/01/2019 12:00:00 AM,,Miami Beach,,,4956,4956,2016,Concrete Block Construction,,,Central Heat,Central Cooling,2,2 Or More Spaces,,"Dining/Living Room, Eat-In Kitchen",Other,Wood Floors,"Built-Ins, Walk-In Closets",,,,,Other,,,,,,0,,,"Dual Sinks, Separate Tub & Shower",C42-Condo 5+ Stories,False,False,,,7,10,,"Doorman, Elevator Secure, Garage Secured",Other Restrictions,,Quarterly,5600,0,0,6730,,,Fisher Island,Palazzo Del Sol,7073,,"BOTTEGA VENETA SHOW HOME: WORLD’S FIRST & ONLY RESIDENCE DESIGNED BY THE TOP ITALIAN FASHION BRAND!!! Sophisticated Design & Rich Hues in this 4 Bed/4.5 Bath designed by Bottega Veneta & Fully Furnished w/new Home Collection.  Furnishings designed by Tomas Maier.  Private Elevator Entry Entry w/Leather-Paneled Foyer.  5K SF Floorplan w/Views of SoBe, Gov Cut & Fisher Isl. Wide-plank Oak Wood Floors thruout, 10' floor to ceiling glass, Boffi Kitchens w/Gaggenau & SubZero apps, Boffi Master Bath w/BookMatched Statuaria Marble. Lualdi interior Doors. 2 Parking Spaces + Garia Golf Cart. Building Amenities: Butler-Serviced Aperitivo Bar & Lounge, Theatre, Hair/Makeup Salon, Private Massage Rooms, Business Center, Gym & Cardio Room, Kids Playroom, Concierge, Pool & Spa + Refreshment Attendant.",,,33109,60,,,,,,196,Miami-Dade County,02-42-10-018-0200,04/02/2019 1:40:33 PM,,
A10635331,Active,7143 Fisher Island Drive,5,5,1,14900000,,03/01/2019 12:00:00 AM,,Miami Beach,Palazzo Del Mare,,,7025,2007,Cbs Construction,,,Central Heat,Central Cooling,3,"2 Or More Spaces, Assigned Parking, Covered Parking, Golf Cart Parking, Valet Parking",Attached,"Breakfast Area, Dining/Living Room, Eat-In Kitchen, Formal Dining, Kitchen Dining, Snack Bar/Counter","High Impact Doors, Open Balcony","Marble Floors, Wood Floors","Built-Ins, Cooking Island, Fire Sprinklers, Foyer Entry, Walk-In Closets",,,,,"Den/Library/Office, Family Room, Separate Guest/In-Law Quarters, Media Room, Recreation Room, Utility Room/Laundry",,,,"Blinds/Shades, High Impact Windows, Impact Glass",Palazzo Del Mare,183523,,,"Bidet, Dual Sinks, Separate Tub & Shower",C42-Condo 5+ Stories,False,False,,,4,10,,"Doorman, Elevator Secure, Card Entry, Guard At Site","Daily Rentals Ok, Exterior Alterations, No Trucks/Rv'S",,Quarterly,8921,0,0,6729,,,Palazzo Del Mare,Palazzo Del Mare,7143,,"Impeccably designed & decorated turnkey Palazzo Del Mare 4th floor middle stack smart home residence w/high-end European furnishings and finishes. It is 5 Bedroom 5.5 Bathroom, 7,025 Interior SF & 1,370 sq. ft. of private terraces, North-East facing residence. It has a private double elevator entry, his study, children play room and TV/family room for viewing movies altogether, wide-plank European oak wood and marble flooring throughout. The Master suite has separate “his” and “her” walk-in closets, her study and luxurious  Carrara marble Master suite bathroom with dual sinks, the standalone bathtub, inspired by a classical French design and large steam shower. This residence is perfect for families with children. Direct views of the Atlantic, South Pointe and Gov. Cut from your residence.",,,33109,5,,,,,,227,Miami-Dade County,02-42-10-016-0170,03/08/2019 9:32:28 AM,,
A10522204,Active,7412 Fisher Island Dr,5,6,2,14000000,,09/04/2018 12:00:00 AM,,Fisher Island,,,,6268,2002,Cbs Construction,,,Central Heat,Central Cooling,2,"Assigned Parking, Golf Cart Parking, Guest Parking, Parking-Under Building",Attached,Formal Dining,"High Impact Doors, Open Balcony",Marble Floors,"First Floor Entry, Second Floor Entry, Built-Ins, Cooking Island, Foyer Entry, French Doors, Vaulted Ceilings",,,,,"Den/Library/Office, Maid/In-Law Quarters, Storage Room, Utility Room/Laundry",,,,"Drapes & Rods, High Impact Windows",,89072,,,"2 Master Bathrooms, Bidet, Shower Only, Separate Tub & Shower",C42-Condo 5+ Stories,False,False,,,1,8,,"Guard At Site, Private Guards, Security Patrol",Renting Limited,,Quarterly,4356,0,0,6729,,,Oceanside,Oceanside,7412,,"Exquisite one of a kind townhouse located steps from the sand on Oceanside Fisher Island boasts rich finishes throughout. Ground level master suite, adjacent family room, den/office and water toy storage with private beach access from the spacious deep terrace. 2nd and 3rd bedroom suites are also located downstairs. Second level features a sprawling formal living room, chefs kitchen, staff quarters and guest suite with deep terrace facing the ocean offer inspiring and soothing sea breezes.",,,33109,44,,,,,,405,Miami-Dade County,30-42-10-015-0090,09/06/2018 10:54:37 AM,,
A10714430,Active,7964 Fisher Island Dr,5,7,1,13900000,,07/29/2019 12:00:00 AM,,Miami Beach,OCEANSIDE @ FISHER ISL CO,,6820,6820,1989,Cbs Construction,,,Central Heat,Central Cooling,8,"2 Or More Spaces, Assigned Parking, Covered Parking, Golf Cart Parking",,"Breakfast Area, Eat-In Kitchen","High Impact Doors, Open Balcony",Marble Floors,"First Floor Entry, Built-Ins, Walk-In Closets",,,,,,,,,,OCEANSIDE @ FISHER ISL CO,149108,,,"Bidet, Separate Tub & Shower",C42-Condo 5+ Stories,False,False,,,6,6,,"Guard At Site, Private Guards",Ok To Lease,,Monthly,8542,0,0,5937,,,FISHER ISLAND,OCEANSIDE,7964,,"This one of a kind newly renovated gem greets you with 20 foot ceilings, a skylight and ocean direct views of the Atlantic ocean, government cut and Miami downtown. This magnificent Penthouse showcases: a private elevator, east & west views with expansive terraces, 5 bedrooms + 1 staff bedroom, 7.5 bathrooms, marble floors throughout, 10 ft gas fireplace, formal dining room, a state of the art kitchen with top of the line appliances, butler's pantry, impact glass doors and many more features. The PH includes: 8 parking spaces, 1 golf cart, 3 assigned golf cart parking spaces and 1 storage. Experience Fisher Island living in this exceptional masterpiece! Easy to show.",,,33109,52,,,,,,77,Miami-Dade County,30-42-10-007-0240,07/29/2019 10:31:05 PM,,
A10614690,Active,7764 Fisher Island Dr,7,8,1,13900000,,01/16/2019 12:00:00 AM,,Miami Beach,OCEANSIDE FISHER ISL COND,,7000,7000,1992,Concrete Block Construction,,,Central Heat,Central Cooling,2,"2 Or More Spaces, Assigned Parking, Covered Parking",,,"Electric Shutters, Open Balcony",Wood Floors,"First Floor Entry, Bar",,,,,,,,,,OCEANSIDE FISHER ISL COND,98191,,,,C42-Condo 5+ Stories,False,False,,45,6,7,,Complex Fenced,Auto Parking On,,Monthly,7467,0,0,7467,,,,Oceanside,7764,,"SOPHISTICATED PRISTINE 7 BEDROOM WITH DIRECT OCEAN VIEWS! This 7 Bedroom 8 Bathroom Lower Penthouse Residence Features 7,000 SF of Interior Space with Unobstructed Spectacular Direct Ocean Views. No Expense was Spared on this Sprawling Floor Plan’s Renovation: Italian Oak Wood Floors, Custom Lighting and Smart Home, Wine Cellar, Chef’s Kitchen with Top-of-the-line Appliances, Maids Quarters with a Separate Entry. The Luxurious Master Suite Features Marble Master Bath & Glass Rain shower. Rarely Available for Purchase, this high floor Unit is in Mint condition. The building also received a $6 Million Renovation, Replacing Elevators, Garage and Common Area. Includes 2 Parking Spaces + 1 Golf Cart Space + 1 Storage Space.",,,33109,20,,,,,,271,Miami-Dade County,30-42-10-010-0250,02/08/2019 3:34:21 PM,,
A10605736,Active,7083 Fisher Island Dr,4,4,1,13900000,,01/23/2019 12:00:00 AM,,Miami Beach,,,4956,4956,2016,Concrete Block Construction,,,Central Heat,Central Cooling,2,2 Or More Spaces,,"Dining/Living Room, Eat-In Kitchen",Other,Terrazzo Floors,"Built-Ins, Walk-In Closets",,,,,Other,,,,,,0,,,"Dual Sinks, Separate Tub & Shower",C42-Condo 5+ Stories,False,False,,,8,10,,"Doorman, Elevator Secure, Garage Secured",Other Restrictions,,Quarterly,5600,0,0,6730,,,Fisher Island,Palazzo Del Sol,7083,,"BEACH HOUSE LUXE ~ WATERFRONT LUXURY W/REFINED DESIGN BY ANTROBUS + RAMIREZ!!! Floor-through C East Open Floorplan w/palette of Materials & Colors from Award-Winning design duo also responsible for lobby level Amenities which evoke Tropical surroundings & relaxed lifestyle of Fisher Island. Turnkey 8th Floor residence is Move-in Ready w/4 Bedrooms & 4 Bathrooms + Powder. 4,956 sf Interiors + 900 sf Terraces. Direct Ocean View from Living Room + vistas of S. Pointe Park, Biscayne Bay, downtown Miami & Fisher Island. Private Elevator Entry. Perfect for families w/curated Children's bedroom+bathroom. Chef's Kitchen by Boffi w/Gaggenau +SubZero appliances. Statuaria Bookmatched Marble master bath w/Dornbracht+Duravit fixtures. New construction. Fisher Island's only full service building.",,,33109,52,,,,,,264,Miami-Dade County,02-42-10-018-0210,01/24/2019 10:46:34 AM,,
A10695811,Active,7774 Fisher Island Dr,5,5,2,12950000,,07/26/2019 12:00:00 AM,,Miami,OCEANSIDE FISHER ISL COND,,,6920,1992,Cbs Construction,,,"Central Heat, Reverse Cycle",Central Cooling,3,"2 Or More Spaces, Assigned Parking, Golf Cart Parking",,"Breakfast Area, Dining/Living Room","High Impact Doors, Open Balcony, Storm/Security Shutters, Tennis Court",Marble Floors,"First Floor Entry, Built-Ins, Elevator, Fireplace, French Doors, Laundry Tub, Pantry, Skylight, Walk-In Closets, Wet Bar",,,,,Maid/In-Law Quarters,,,,,OCEANSIDE FISHER ISL COND,74154,,,"Bidet, Separate Tub & Shower",C42-Condo 5+ Stories,False,False,,,7,7,,Security Patrol,"Daily Rentals Ok, No Trucks/Rv'S, Other Restrictions",,Quarterly,4814,0,0,6729,,,,Oceanside,PH7774,,"Enjoy soaring views over the Atlantic Ocean from this majestic Fisher Island penthouse. Highlighted by 20-foot vaulted ceilings, Penthouse 7774 is a space to enjoy spectacular ocean views accented by your private art collection. This residence has been uniquely designed to showcase art, with four skylights providing generous amounts of natural light. Take in the breeze on one of four private terraces and relax in the expansive 2,000+/- square-foot master suite. Three convenient garage spaces are included, plus two golf cart spots and a storage room with a/c. Take advantage of the exclusivity, security, and privacy of Fisher Island; as well as impressive amenities including world-class golf and tennis facilities, a private school and access to the timeless and elegant: Fisher Island Club.",,,33109,25,,,,,,80,Miami-Dade County,30-42-10-010-0260,07/26/2019 12:07:58 PM,,
A2073076,Active,7716 FISHER ISLAND DR,4,4,1,12950000,,02/13/2015 12:00:00 AM,,Miami,,,5800,5800,1992,Cbs Construction,,,Central Heat,Central Cooling,2,Covered Parking,,Formal Dining,Open Balcony,"Marble Floors, Wood Floors","Bar, Built-Ins, Closet Cabinetry, Custom Mirrors, Foyer Entry, Split Bedroom, Walk-In Closets",,,,,,,,,"Blinds/Shades, High Impact Windows, Impact Glass",,85185,,,,C42-Condo 5+ Stories,False,False,,,1,9,,Guard At Site,Ok To Lease,,Monthly,8542,0,0,3539,,,Fisher Island,Oceanside,7716,,"Visit this breathtaking professionally designed & newly renovated ground floor unit. Features include: SE exposure, expansive terraces, wood & marble floors throughout, a state of the art kitchen with top of the line appliances, gorgeous bathrooms, Cresto n system, built in walk in closets, a wine cellar room, a formal dining room, wood paneled walls throughout, floor to ceiling interior doors, impact glass doors, etc. Seller does not need to sell her Equity Membership. Don't miss exceptional offering!",,,33109,25,,,,,,1703,Miami-Dade County,30-42-10-010-0270,02/14/2015 3:58:00 PM,,
