MLS NUMBER,STATUS,ADDRESS,BEDS,FBATHS,HBATHS,LIST PRICE,SOLD PRICE,CONTRACT,SETTLED,CITY,SUBDIV,LOT SIZE,TOT SQFT,LIV SQFT,YEAR BUILT,CONST,DESIGN1,DESIGN2,HEAT,COOLING,GAR SPACES,PARKING,GAR DESC,DINING,EXT FEAT,FLOORS,INT FEAT,LOT DESC,POOL2,POOL DIM,ROOF,OTHER ROOM,SEWER,VIEW,WATER,WINDOWS,SUBD INFO,EST TAXES,SPA,POOL1,MSTR BATH,STYLE,SHORT SALE,REO,BLDG UNITS,COMPLEX UNITS,UNIT FLOOR LOC,TOTAL FLOORS,SUBDIVISION INFO,SECURITY INFO,RESTRICTIONS,FEE DESCRIPTION,ASSOC FEE PAID PER,MAINT CHARGE,LAND LEASE,REC LEASE,ASSOCIATION FEE,MIN LEASE,MAINT INCL,DEVELOPMENT NAME,COMPLEX,UNIT #,ROOF,PUBLIC REMARKS,EXPECTED CLOSING DATE,APPROX LOT SIZE,ZIP CODE,PHOTO COUNT,WITHDRAWN DATE,EXPIRATION DATE,PENDING DATE,OFF MARKET DATE,SALE TERMS,DAYS ON MARKET,COUNTY,APN,ENTRY DATE,SELLER CONTRIBUTIONS (Y/N),SELLER CONTRIBUTIONS ($) 
A10738929,Active,5980 N Bay Rd,6,9,2,32500000,,09/18/2019 12:00:00 AM,,Miami Beach,LA GORCE GOLF SUB,43615,15040,11690,2015,Concrete Block Construction,Detached,"Two Story, Mediterranean",Central Heat,"Central Cooling, Zoned Cooling",4,"Circular Drive, Driveway, Guest Parking, Pavers",Detached,,"Awnings, Barbeque, Built-In Grill, Deck, Fruit Trees, Tennis Court","Other Floors, Wood Floors","First Floor Entry, Built-Ins, Closet Cabinetry, Cooking Island, Custom Mirrors, Elevator, French Doors, Skylight",1 To Less Than 2 Acre Lot,"Auto Pool Clean, Below Ground Pool, Heated",25x60,,"Den/Library/Office, Family Room, Media Room, Storage Room",Municipal Sewer,"Bay, Water View",Municipal Water,,LA GORCE GOLF SUB,188036,,True,,R35-WF/Pool/Ocean Access,False,False,,,,,"Bar, Boating",,No Restrictions,,,,,,,,,,,,,"Situated behind private Gates is an exceptionally crafted, painstakingly realized example of classic, East Coast inspired Spanish Architecture infused with countless contemporary amenities and exquisite custom details. The 12,000 sq. ft main house is brimming with breathtaking classic American manor details, soul-soothing elements and chic modern comforts. With no detail or amenity overlooked, the interior boasts a chef-caliber kitchen, multiple formal and informal living areas, a well appointed master suite, wine room and state-of-the-art professional theater. A legacy property set proudly on 1 manicured acre, this six-bedroom, 9 bath & 2 half bath estate sits on the picturesque northern tip of Miami Beach and boasts sunset views from every room.",,,33140,29,,,,,,26,Miami-Dade County,02-32-15-003-0190,09/18/2019 2:00:16 PM,,
A10580401,Active,5004 N Bay Rd,8,9,1,26500000,,12/03/2018 12:00:00 AM,,Miami Beach,LA GORCE GOLF SUB,21517,16655,12804,2016,"Elevated Construction, New Construction",Detached,Three Or More Stories,"Central Heat, Electric Heat","Central Cooling, Electric Cooling",6,"Covered Parking, Driveway",Detached,"Breakfast Area, Formal Dining, Snack Bar/Counter","Barbeque, Built-In Grill, Exterior Lighting, High Impact Doors, Open Balcony, Outdoor Shower",Other Floors,"First Floor Entry, Bar, Built-Ins, Closet Cabinetry, Fireplace, Split Bedroom, Volume Ceilings, Walk-In Closets",1/4 To Less Than 1/2 Acre Lot,"Equipment Stays, Heated, Pool Bath",27x22,,"Family Room, Separate Guest/In-Law Quarters, Maid/In-Law Quarters, Media Room, Utility Room/Laundry",Municipal Sewer,"Bay, Water View",Municipal Water,"Blinds/Shades, Drapes & Rods, High Impact Windows",LA GORCE GOLF SUB,256084,True,True,"Bidet, Separate Tub & Shower",R35-WF/Pool/Ocean Access,False,False,,,,,Paved Road,,No Restrictions,,,,,,,,,North Bay Road,,,,"BAKARA ""SESTO SENSO""~ULTRA-MODERN BAYFRONT RESORT-STYLE AWARD WINNING MASTERPIECE WITH SUNSETS OVER THE MIAMI SKYLINE ON PRESTIGIOUS NORTH BAY ROAD IN MIAMI BEACH! A rare find...Newly Built under OLD Code allows for rarely found Rooftop Pool on 3,500SF w Entertaining Lounge & Elevator access to all levels. WHITE on WHITE seamless Architectural Marvel by Zeb Jarosz, Jennifer Post & Raymond Jungles. 8 Beds + 9.5 Baths in 14,422 Adj Gross SF on 21,517SF LOT w 106FT of Waterfront. Luxurious Italian Custom Kitchen in White Glass w Gaggenau & Miele Appliances. Statuaria Marble Bathrooms, Oversized Closets, 12FT Telescopic Doors. Fitness Center & Spa w Steam Room, Movie Theater, Massage/Yoga Deck & Dining Room w Wine Storage. Exit thru Courtyard wrapped by Water Features. 6 Car Garage + NEW Dock.",,.494 acre,33140,51,,,,,,315,Miami-Dade County,02-32-15-003-2080,12/06/2018 11:46:48 AM,,
A10488686,Active,5565/5589 Pine Tree Dr,10,13,1,23990000,,06/30/2018 12:00:00 AM,,Miami Beach,BEACH VIEW SUB,83548,14256,11356,1925,Cbs Construction,Detached,Two Story,"Central Heat, Electric Heat","Central Cooling, Electric Cooling",2,Driveway,Detached,,Patio,"Ceramic Floor, Wood Floors",First Floor Entry,1 To Less Than 2 Acre Lot,Below Ground Pool,2,,"Den/Library/Office, Family Room, Florida Room",Municipal Sewer,"Ocean View, Water View",Municipal Water,Blinds/Shades,BEACH VIEW SUB,153260,False,True,2 Master Bathrooms,R35-WF/Pool/Ocean Access,False,False,,,,,No Subdiv/Park Info,,No Restrictions,,,,,,,,,Pine Tree Drive,,,,"DEVELOPERS DREAM ~ SUBDIVIDE THIS WATERFRONT 2 ACRE MIAMI BEACH LEGACY ESTATE INTO 2 OR OPTIMALLY 3 LOTS! Build on prestigious Pine Tree Drive on approximately 2 acres of rolling lawns with 327 feet on the water. Split into 3 parcels as it originally once was platted in the Miami Beach hay days and develop 3 Luxury Modern Villas each with 109 feet on the water on approx 27,850 SF Lots. It could also be purchased as two 1 acre estates to develop 2 Waterfront Estate Villas or can be bought as one parcel to build your own Mega Trophy Villa.  Existing are 2 MED-Revival gems that could be renovated and occupied by the new owner or serve as a good rental property.",,1.92,33140,11,,,,,,471,Miami-Dade County,02-32-14-003-0290,06/30/2018 11:01:03 AM,,
A10561804,Active,100 La Gorce Circle,7,9,1,22500000,,11/09/2018 12:00:00 AM,,Miami Beach,LA GORCE ISLAND,77748,12687,10094,1952,Cbs Construction,Detached,"Two Story, Substantially Remodeled",Central Heat,"Central Cooling, Electric Cooling, Zoned Cooling",4,"Circular Drive, Driveway, Pavers",Detached,"Breakfast Area, Formal Dining, Kitchen Dining","Exterior Lighting, Extra Building/Shed, Fence, Fruit Trees, High Impact Doors, Patio, Tennis Court","Marble Floors, Wood Floors","Bar, Built-Ins, Foyer Entry, French Doors, Other Interior Features, Pantry, Wet Bar",1 To Less Than 2 Acre Lot,Below Ground Pool,30x60,,"Attic, Den/Library/Office, Family Room, Florida Room, Garage Apartment, Great Room, Guest House, Maid/In-Law Quarters",Municipal Sewer,"Bay, Water View",Municipal Water,"High Impact Windows, Impact Glass",LA GORCE ISLAND,281368,True,True,"Bidet, Dual Sinks, Separate Tub & Shower",R35-WF/Pool/Ocean Access,False,False,,,,,"Gate Guarded, Mandatory Hoa, Security Patrol",,Other Restrictions,,Yearly,,,,0,,,LA GORCE ISLAND,,,,"Best price per SF of land on gated island! Tree lined canopied driveway lead you to this premiere La Gorce Island estate showcasing classic & modern design in coveted Miami Beach location. This rare residence has nearly 2 acres of land & 500ft+ of water-frontage & offers easy access to Ocean, Intracoastal & no fixed bridges to the Bay. The 12,687 total sq. ft. residence offers an ideal floorplan for entertaining w/7 bdrms & 9.5 ensuite baths, 950SF custom chefs kitchen & guest wing. Main living area open to covered terrace & enviable outdoor space is highlighted by the gorgeous pool & spacious patios, spa & wading area. Grounds feature separate guest house, gym + pool house w/full kitchen, bath & rooftop deck. Professionally lit Hydro Tennis Crt, 2 boat lifts + newer seawall. 3 car garage.",,77748,33141,100,,,,,,339,Miami-Dade County,02-32-11-006-0040,11/09/2018 6:31:32 PM,,
A10423492,Active,6385 Pinetree Drive Cir,9,11,2,22500000,,02/22/2018 12:00:00 AM,,Miami Beach,BEACH VIEW ADDITION,43763,15697,10459,1937,Cbs Construction,Detached,"Two Story, Substantially Remodeled",Central Heat,Central Cooling,2,"Circular Drive, Other Parking, Pavers",Attached,"Breakfast Area, Eat-In Kitchen, Formal Dining, Kitchen Dining","Built-In Grill, Extra Building/Shed, Exterior Lighting, Open Balcony, Other","Carpeted Floors, Marble Floors, Other Floors, Wood Floors","First Floor Entry, Bar, Built-Ins, Walk-In Closets, Wet Bar",1 To Less Than 2 Acre Lot,"Below Ground Pool, Concrete, Equipment Stays, Heated, Pool Bath",15x30,,"Den/Library/Office, Family Room, Great Room, Guest House, Other, Utility Room/Laundry, Workshop",Municipal Sewer,"Canal, Other View, Pool Area View",Municipal Water,,BEACH VIEW ADDITION,284598,True,True,"Bidet, Dual Sinks, Separate Tub & Shower, Whirlpool/Spa",R35-WF/Pool/Ocean Access,False,False,,,,,Other Subdiv/Park Info,,Ok To Lease,,,,,,,,,,,,,"Experience the grandeur & elegance of this truly romantic Mediterranean estate located on the prestigious & very private Pine Tree Drive Circle. Home features 175' of direct waterfront overlooking scenic Indian Creek, ideally situated on a rare 1.1 acre lot. This meticulously remodeled & expanded 1937 estate features 2018 state-of-the-art technology & boasts 9 BD/11 Full/2 Half BA, a 22,000 gallon pool, spa, koi pond, sculptured gardens, gym, wine cellar, library, 2 BD guest apt, private dock. This is one of the most noteworthy estates in all of Miami Beach!",,,33141,29,,,,,,599,Miami-Dade County,02-32-11-013-0010,02/22/2018 11:34:10 AM,,
A10220204,Active,580 Sabal Palm Rd,6,8,,20000000,,02/06/2017 12:00:00 AM,,Miami,Bay Point,25554,14000,11485,2019,Cbs Construction,Detached,Two Story,Electric Heat,Electric Cooling,4,Driveway,,,Open Porch,Other Floors,"First Floor Entry, Closet Cabinetry",1/2 To Less Than 3/4 Acre Lot,Below Ground Pool,x,,"Florida Room, Great Room, Maid/In-Law Quarters, Media Room, Recreation Room",Municipal Sewer,"Bay, Water View",Municipal Water,,Bay Point,99518,,True,,R35-WF/Pool/Ocean Access,False,False,,,,,Gate Guarded,,No Restrictions,,,,,,,,,,,,,"Brand new dream home! We present to you, ""La Casa Palma""- an unparalleled contemporary masterpiece impeccably designed by architect Kobi Karp with interiors by Borges+associates, builder: MV Group. Located in the exclusive private gated community of Bay Point, this 6 bedroom plus staff quarters, 8 bath residence, boasts 108 feet on the open bay. The home features a lap pool, spa overlooking the water, movie theater, home gym, and more! Luxe waterfront living at its finest with breathtaking water views from EVERY room! Completion by late November 2019.",,,33137,23,,,,,,980,Miami-Dade County,01-32-19-008-0460,02/06/2017 2:13:39 PM,,
A10753773,Active,6650 Allison Rd,8,8,3,19950000,,10/02/2019 12:00:00 AM,,Miami Beach,INDIAN CREEK SUB,24673,10020,8474,2018,Cbs Construction,Detached,"Two Story, Split Level",Central Heat,Central Cooling,4,Driveway,Detached,"Formal Dining, Kitchen Dining","Barbeque, Built-In Grill, Exterior Lighting, High Impact Doors, Open Balcony, Open Porch, Patio","Marble Floors, Wood Floors","Built-Ins, Closet Cabinetry, Custom Mirrors, Fireplace, Pantry, Vaulted Ceilings, Walk-In Closets",1/2 To Less Than 3/4 Acre Lot,"Below Ground Pool, Heated",34x22,,"Attic, Den/Library/Office, Family Room, Great Room, Media Room, Sauna, Storage Room, Utility Room/Laundry",Municipal Sewer,"Other View, Water View",Municipal Water,Impact Glass,INDIAN CREEK SUB,115586,True,True,"Bidet, Dual Sinks, Separate Tub & Shower",R35-WF/Pool/Ocean Access,False,False,,,,,"Gate Guarded, Other Subdiv/Park Info",,Other Restrictions,,,,,,,,,,,,,"Luxurious contemporary modern waterfront home custom built by Todd Michael Glaser on gated Allison Island. Florida keystone façade surrounds this lavish home with 9,312 square feet under air, on a 26,380 sq. ft. lot with 209 ft. of prime water frontage. 8 bedrooms, 8 full bathrooms, 3 half bathrooms. Includes copper seam roof, 4 car garage, full gym with sauna & massage room. Grand master bedroom with exquisite etched marble bathroom. Private dock, heated swimming pool, outdoor BBQ, formal dining, gourmet chef kitchen. Three fire places. Private & gated Allison Island with neighboring sports stars and CEO’s.",,,33141,22,,,,,,12,Miami-Dade County,02-32-11-003-0250,10/09/2019 11:38:00 AM,,
A10645110,Active,610 Sabal Palm Rd,4,4,0,14500000,,03/24/2019 12:00:00 AM,,Miami,BAY POINT,22800,3537,3537,1950,Cbs Construction,Attached,Two Story,"Central Heat, Electric Heat","Ceiling Fans, Central Cooling, Electric Cooling",2,"Circular Drive, Driveway",Detached,Formal Dining,"Barbeque, Built-In Grill, Exterior Lighting, Fence, Storm/Security Shutters","Marble Floors, Other Floors, Wood Floors","Closet Cabinetry, Other Interior Features, Walk-In Closets","1/2 To Less Than 3/4 Acre Lot, East Of Us 1, Other Lot Description",Below Ground Pool,20x45,,"Family Room, Maid/In-Law Quarters, Media Room, Utility/Laundry In Garage",Municipal Sewer,"Bay, Intracoastal View",Municipal Water,,BAY POINT,86496,,True,,R35-WF/Pool/Ocean Access,False,False,,,,,"Card/Electric Gate, Gate Guarded, Security Patrol",,Other Restrictions,,Yearly,,,,2000,,,,,,,"Located within Bay Point, away from neighborhood borders, this home features incredible views of the open bay, downtown, and has plenty of waterfront for a yacht. The home has modern touches while retaining the original design. The home offer four bedrooms and four bathrooms. The large master suite is upstairs with a second bedroom on opposite sides of the home. Both upstairs bedrooms have balconies with modern glass railings. Downstairs there are two bedrooms on opposite sides of the home with their own doorways to the exterior. The kitchen, formal dining, breakfast area, living area, and media area are all well laid out with plenty of space. The backyard features a large pool, bbq area with built in grill, outdoor living area, cabana style area, sand by the seawall, and plenty of space.",,,33137,38,,,,,,204,Miami-Dade County,01-32-19-008-0500,03/25/2019 11:50:39 PM,,
A10577250,Active,4745 Pine Tree Dr,12,9,1,13750000,,11/28/2018 12:00:00 AM,,Miami Beach,INDIAN BEACH CORP AMD PL,,6968,6968,1930,Cbs Construction,Detached,"Two Story, Mediterranean",Central Heat,Central Cooling,0,"Circular Drive, Driveway, Guest Parking",Detached,"Breakfast Area, Formal Dining, Kitchen Dining","Awnings, Barbeque, Fence, Fruit Trees, High Impact Doors, Exterior Lighting","Carpeted Floors, Marble Floors, Other Floors, Tile Floors","First Floor Entry, Closet Cabinetry, Fireplace, Foyer Entry, Stacked Bedroom, Volume Ceilings",3/4 To Less Than 1 Acre Lot,"Auto Pool Clean, Below Ground Pool",0,,"Cottage, Den/Library/Office, Family Room, Florida Room, Garage Apartment, Glassed Porch, Separate Guest/In-Law Quarters, Guest House",Municipal Sewer,"Intracoastal View, Pool Area View",Municipal Water,"Arched Windows, Blinds/Shades, High Impact Windows",INDIAN BEACH CORP AMD PL,113928,,True,Combination Tub & Shower,R35-WF/Pool/Ocean Access,False,False,,,,,"No Subdiv/Park Info, Public Road, Street Lights",,Other Restrictions,,,,,,,,,,,,,"Grand Estate on prestigious Pine Tree Drive. Located on an acre of land, the home features large rooms, formal dining, library, gourmet chef's kitchen, grand salon, coffered ceilings, custom built-ins, impact doors/windows, 12 bedrooms and 9.5 bathrooms. Home has three detached guest houses. Architectural integrity throughout the home. Long driveway surrounded by royal palms creates a dramatic entrance to the home. 100’ of water frontage with no fixed bridges, infinity edge pool with fountains.",,42900,33140,40,,,,,,320,Miami-Dade County,02-32-23-002-0220,11/28/2018 12:52:20 PM,,
A2202520,Active,625 BUTTON WOOD LANE,0,0,0,13400000,,11/10/2015 12:00:00 AM,,Miami,BAY POINT,67453,,,1961,Other Construction,Detached,Other,Other,Other,0,Driveway,,,Other,Other Floors,Other Interior Features,1 To Less Than 2 Acre Lot,,,,Other,Municipal Sewer,"Lake, Water View",Municipal Water,,BAY POINT,212873,,False,,R34-WF/Ocean Access,False,False,,,,,"Gate Guarded, Private Roads, Security Patrol",,Other Restrictions,,Yearly,,,,10983,,,BAY POINT,,,,"PRIME DEVELOPMENT OPPORTUNITY TO COMBINE 2 LOTS ON THE ISLAND IN BAY POINT!  Waterfront Oasis on Point Lot in a Protected Harbor with no Bridges to Biscayne Bay. Over 450 feet of WATERFRONT on 67,453 Square Foot LOT on Sabal Lake to Build your Dream Estate. Bay Point is Miami's Most Private, Gated Neighborhood Safe, Secure & Perfect for Families, adjacent to the Design District, Midtown, Wynwood + Miami's Museum & Performing Art's District.",,67453,33137,32,,,,,,550,Miami-Dade County,,11/12/2015 9:32:00 AM,,
